s370_perf_ana  -cp 57.135  -t311 171.405

file name ----------------------------  GMUL  i-count  -- total time --   MIPS
2003-10-23-09:55:05_J0144_TPER-ASM.prt     8 2.87e+08   56.41s  0m56.41    5.1
2003-10-23-09:55:05_J0145_TPER-ASM.prt     8 2.87e+08   56.41s  0m56.41    5.1
2003-10-23-09:55:06_J0146_TPER-ASM.prt     8 2.87e+08   56.39s  0m56.39    5.1
2003-10-23-09:55:06_J0147_TPER-ASM.prt     8 2.87e+08   56.39s  0m56.39    5.1
2003-10-23-09:55:06_J0148_TPER-ASM.prt     8 2.87e+08   56.39s  0m56.39    5.1
2003-10-23-09:55:07_J0149_TPER-ASM.prt     8 2.87e+08   56.39s  0m56.39    5.1
2003-10-23-09:55:07_J0150_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:07_J0151_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:08_J0152_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:08_J0153_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:08_J0154_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:09_J0155_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:09_J0156_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:10_J0157_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:10_J0158_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:10_J0159_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:11_J0160_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:11_J0161_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1
2003-10-23-09:55:11_J0162_TPER-ASM.prt     8 2.87e+08   56.37s  0m56.37    5.1
2003-10-23-09:55:12_J0163_TPER-ASM.prt     8 2.87e+08   56.38s  0m56.38    5.1

Tag   Comment                : nt     min     max      cor   w50%    n-rr   n-rx    n-cp  e-cp%   mcc
T100  LR R,R                 : 20    58.9    59.0    57.28 0.235%    1.00   0.33    1.00     0%     1
T102  L R,m                  : 20   178.0   178.7   174.71 0.289%    3.05   1.00    3.06     5%     3
T311  BCTR R,R               : 20   114.1   114.9   114.25 0.425%    1.99   0.65    2.00     0%     2
T312  BCT R,l                : 20   288.6   289.5   289.22 0.198%    5.05   1.66    5.06     6%     5
T700  mix int RR basic       : 20    91.5    92.2    87.30 0.534%    1.52   0.50    1.53   -47%     2
T900  LR R,R (ig=1)          : 20   259.0   260.2    87.76 0.294%    1.53   0.50    1.54   -46%     2
T901  LR R,R (ig=2)          : 20   174.5   175.1    89.28 0.255%    1.56   0.51    1.56   -43%     2
T902  LR R,R (ig=3)          : 20   116.4   116.8    59.51 0.258%    1.04   0.34    1.04     4%     1
T903  LR R,R (ig=4)          : 20   101.4   102.0    58.57 0.078%    1.02   0.34    1.03     2%     1
T904  LR R,R (ig=5)          : 20    92.4    93.1    58.14 0.565%    1.02   0.33    1.02     1%     1
T905  LR R,R (ig=6)          : 20    86.2    86.7    57.73 0.194%    1.01   0.33    1.01     1%     1
T906  LR R,R (ig=7)          : 20    82.4    83.6    58.01 0.448%    1.01   0.33    1.02     1%     1
T907  LR R,R (ig=8)          : 20    79.0    79.4    57.61 0.369%    1.01   0.33    1.01     0%     1
T908  LR R,R (ig=9)          : 20    83.4    83.7    64.50 0.313%    1.13   0.37    1.13    12%     1
T909  LR R,R (ig=10)         : 20    80.4    80.7    63.33 0.300%    1.11   0.36    1.11    10%     1
T910  LR R,R (ig=12)         : 20    72.1    72.8    57.90 0.346%    1.01   0.33    1.01     1%     1
T911  LR R,R (ig=18)         : 20    69.9    70.2    60.39 0.321%    1.05   0.35    1.06     5%     1
T912  LR R,R (ig=25)         : 20    66.7    67.1    59.96 0.300%    1.05   0.34    1.05     4%     1
T913  LR R,R (ig=36)         : 20    62.0    62.3    57.34 0.319%    1.00   0.33    1.00     0%     1
T914  LR R,R (ig=50)         : 20    61.8    62.4    58.39 0.259%    1.02   0.33    1.02     2%     1
T915  LR R,R (ig=72)         : 20    59.5    59.8    57.33 0.281%    1.00   0.33    1.00     0%     1
T920  L R,m (ig=1)           : 20   463.2   464.9   292.44 0.249%    5.11   1.67    5.12    11%     5
T921  L R,m (ig=2)           : 20   288.8   289.8   203.86 0.256%    3.56   1.17    3.57   -43%     4
T922  L R,m (ig=3)           : 20   250.3   251.8   193.72 0.249%    3.38   1.11    3.39    39%     3
T923  L R,m (ig=4)           : 20   231.6   233.8   188.86 0.437%    3.30   1.08    3.31    30%     3
T924  L R,m (ig=5)           : 20   231.1   233.0   197.51 0.462%    3.45   1.13    3.46    45%     3
T925  L R,m (ig=6)           : 20   212.9   214.6   184.94 0.438%    3.23   1.06    3.24    23%     3
T926  L R,m (ig=7)           : 20   206.7   208.6   182.41 0.363%    3.18   1.04    3.19    19%     3
T927  L R,m (ig=8)           : 20   203.4   204.9   182.39 0.303%    3.18   1.04    3.19    19%     3
T928  L R,m (ig=9)           : 20   206.1   207.8   187.42 0.274%    3.27   1.07    3.28    28%     3
T929  L R,m (ig=10)          : 20   196.6   197.4   179.76 0.235%    3.14   1.03    3.15    14%     3
T930  L R,m (ig=12)          : 20   193.5   194.4   179.64 0.297%    3.14   1.03    3.14    14%     3
T931  L R,m (ig=18)          : 20   186.5   187.1   177.25 0.306%    3.09   1.01    3.10    10%     3
T932  L R,m (ig=25)          : 20   185.8   186.6   179.33 0.328%    3.13   1.03    3.14    13%     3
T933  L R,m (ig=36)          : 20   180.1   180.7   175.62 0.265%    3.07   1.01    3.07     7%     3
T952  T700 1st  2            : 20   405.6   408.0   234.48 0.427%    4.09   1.34    4.10    10%     4
T953  T700 1st  3            : 20   577.1   582.3   406.07 0.387%    7.09   2.32    7.11    10%     7
T954  T700 1st  4            : 20   631.8   635.2   460.88 0.404%    8.05   2.64    8.07     6%     8
T955  T700 1st  5            : 20   687.5   691.9   516.57 0.443%    9.02   2.96    9.04     4%     9
T956  T700 1st  6            : 20   750.2   754.7   579.08 0.067%   10.11   3.31   10.14    13%    10
